UniqueIdentifier,Department,WorkingStructure,Age,DISC,DISCFirstLetter,DISCFirst2Letters,Nationality,OrganizationalUnit,Gender,HolidayUsed,DevelopmentHours,Year,Level,Performance,FTE,TargetAchievementPortfolio,LeadershipBehaviorPortfolio,Salary,LengthOfService,TargetAchievement,LeadershipBehavior,Title,AbbrOfPosition
367,Department2,Team7,76,CSDI,C,CS,Scottish,UAH,Female,17,33,2017,2017,5,1.0,2,4,16596,27.59,4,3,SF1-UK-IEGB3_G9,FL II
368,Department3,Team8,23,IDCS,I,ID,French,RUB,Male,12,25,2016,2016,5,0.6,2,2,10881,6.0,3,4,SF1-UK-IEGB3_G9,FL II
369,Department4,Team9,76,IDCS,I,ID,Irish,EUR,Male,2,64,2016,2016,3,1.0,4,3,12575,5.69,1,5,SF-Z-4GB03_G7,FL I
370,Department5,Team10,34,IDS,I,ID,British,BOB,Female,22,22,2016,2016,4,1.0,1,2,9504,18.82,2,1,FG-63GB03_G9,FL I
371,Department1,Team11,56,DCSI,D,DC,Spanish,IDR,Male,31,112,2016,2016,1,1.0,4,4,18330,21.09,4,5,FG-63GB03_G9,FL II
372,Department2,Team12,76,CI,C,CI,Italian,EUR,Female,23,15,2016,2016,1,1.0,3,4,10110,24.21,5,4,SF-Z-1GB03_G10,FL I
373,Department3,Team13,34,DSIC,D,DS,Spanish,TWD,Male,38,17,2017,2017,2,1.0,2,2,8697,2.33,1,2,FG-63GB03_G9,FL II
375,Department5,Team15,42,S,S,S,Spanish,CNY,Female,6,52,2016,2016,5,1.0,3,2,14866,1.67,5,4,FG-63GB03_G9,FL I
376,Department1,Team1,56,DCS,D,DC,Spanish,BAM,Male,3,68,2017,2017,4,1.0,1,4,2499,13.18,1,4,SF-Z-1GB03_G10,FL VI
377,Department2,Team2,42,CI,C,CI,Japanese,EUR,Female,6,21,2016,2016,1,1.0,4,2,18566,5.52,4,4,SF-Z-1GB03_G10,FL I
378,Department3,Team3,32,SID,S,SI,Scottish,EUR,Female,24,22,2016,2016,2,1.0,4,1,11631,4.48,5,5,SF-Z-1GB03_G10,FL II
379,Department4,Team4,23,D,D,D,French,EUR,Male,33,113,2016,2016,4,1.0,4,1,12725,24.17,3,5,SF-Z-1GB03_G10,FL I
380,Department5,Team5,54,SC,S,SC,Irish,THB,Male,30,116,2016,2016,4,1.0,2,3,18620,27.43,1,5,SF-Z-4GB03_G7,FL VI
381,Department1,Team6,34,CI,C,CI,British,RUB,Female,34,75,2017,2017,2,0.8,3,1,9446,27.42,5,4,SF-Z-1GB03_G10,FL II
382,Department2,Team7,20,CI,C,CI,French,RUB,Female,4,105,2016,2016,4,1.0,1,2,13034,6.41,4,2,SF-Z-1GB03_G10,FL II
384,Department4,Team9,34,D,D,D,Spanish,SSP,Male,30,18,2017,2017,5,1.0,4,1,5716,28.0,4,5,SF3-JPGB03_G12,FL II
385,Department5,Team10,34,DIS,D,DI,Polish,IDR,Female,37,57,2017,2017,3,0.8,4,1,18508,26.58,1,2,SF1-UK-IEGB3_G9,FL V
386,Department1,Team11,22,DSCI,D,DS,Irish,EUR,Male,3,72,2017,2017,2,0.8,4,4,16229,7.53,1,2,SF-Z-1GB03_G10,FL I
387,Department2,Team12,34,DSI,D,DS,Irish,CNY,Female,8,19,2016,2016,2,1.0,3,1,7100,1.12,2,1,FG-63GB03_G9,FL II
388,Department3,Team13,44,SID,S,SI,Japanese,IDR,Male,15,64,2017,2017,3,1.0,1,2,3895,18.12,4,3,SF-Z-1GB03_G10,FL VI
389,Department4,Team14,34,CD,C,CD,Polish,NOK,Male,6,17,2016,2016,4,1.0,1,2,16270,13.95,3,5,SF-Z-4GB03_G7,FL VI
390,Department5,Team15,22,CDIS,C,CD,Irish,USD,Male,9,107,2017,2017,3,1.0,2,2,3266,24.33,3,5,SF-Z-1GB03_G10,FL VI
391,Department1,Team1,32,IC,I,IC,British,CNY,Male,22,42,2017,2017,5,0.6,4,2,12690,7.51,3,4,FG-63GB03_G9,FL V
392,Department2,Team2,23,CI,C,CI,Spanish,UZS,Female,27,74,2017,2017,5,1.0,4,3,1681,14.69,3,3,SF3-JPGB03_G12,FL II
393,Department3,Team3,68,ICD,I,IC,Polish,EUR,Male,4,51,2017,2017,4,1.0,3,4,14420,9.71,4,5,FG-63GB03_G9,FL II
394,Department4,Team4,34,DIS,D,DI,Spanish,RUB,Female,36,107,2017,2017,2,1.0,1,1,11088,13.83,2,5,FG-63GB03_G9,FL VI
395,Department5,Team5,34,SID,S,SI,German,PHP,Female,32,4,2016,2016,5,1.0,1,4,2304,27.82,1,5,SF3-JPGB03_G12,FL II
396,Department1,Team6,40,ID,I,ID,Scottish,CNY,Female,2,23,2016,2016,5,1.0,2,1,7329,26.13,3,4,SF3-JPGB03_G12,FL I
397,Department2,Team7,54,DISC,D,DI,Japanese,EUR,Female,39,37,2017,2017,2,1.0,1,3,16136,15.66,3,5,FG-63GB03_G9,FL VI
398,Department3,Team8,56,ID,I,ID,Italian,NPR,Male,17,104,2016,2016,3,1.0,2,2,2275,22.13,2,5,SF3-JPGB03_G12,FL II
399,Department4,Team9,40,DS,D,DS,Irish,SEK,Male,31,96,2016,2016,5,1.0,1,2,9961,25.4,4,4,SF1-UK-IEGB3_G9,FL VI
400,Department5,Team10,34,DIS,D,DI,French,IDR,Male,33,39,2016,2016,2,0.4,3,2,17493,25.03,5,1,SF-Z-4GB03_G7,FL II
401,Department1,Team11,34,IDC,I,ID,Italian,KWD,Female,30,8,2016,2016,4,1.0,2,1,2805,15.96,3,5,SF-Z-4GB03_G7,FL I
402,Department2,Team12,56,CSD,C,CS,Scottish,ALL,Male,0,52,2017,2017,4,1.0,2,4,9698,12.02,5,1,SF-Z-1GB03_G10,FL II
404,Department4,Team14,32,S,S,S,Polish,MNT,Female,21,80,2017,2017,5,1.0,1,2,5609,16.19,1,3,SF3-JPGB03_G12,FL II
405,Department5,Team15,23,SDIC,S,SD,Spanish,BTN,Male,25,70,2017,2017,3,1.0,3,3,17269,8.98,2,1,FG-63GB03_G9,FL VI
406,Department1,Team1,25,ISD,I,IS,Scottish,IDR,Male,31,4,2017,2017,2,1.0,1,3,4957,4.27,2,5,FG-63GB03_G9,FL VI
407,Department2,Team2,32,SICD,S,SI,Irish,CAD,Female,34,73,2017,2017,1,1.0,3,1,5097,2.32,3,1,SF1-UK-IEGB3_G9,FL VI
408,Department3,Team3,32,CSID,C,CS,American,PHP,Male,33,94,2016,2016,3,1.0,1,4,5981,15.4,1,2,SF1-UK-IEGB3_G9,FL I
409,Department4,Team4,34,DSI,D,DS,Italian,YER,Male,32,37,2016,2016,5,1.0,4,4,17962,10.63,2,4,SF-Z-1GB03_G10,FL II
410,Department5,Team5,34,CD,C,CD,Spanish,BRL,Female,18,15,2017,2017,4,1.0,3,4,2199,11.03,5,3,SF1-UK-IEGB3_G9,FL VI
412,Department2,Team7,42,IC,I,IC,Japanese,EUR,Male,34,12,2016,2016,2,1.0,4,3,2177,28.68,3,2,SF-Z-4GB03_G7,FL VI
413,Department3,Team8,20,CDS,C,CD,Japanese,BRL,Male,3,86,2016,2016,5,1.0,4,4,18824,17.4,1,5,SF-Z-1GB03_G10,FL V
414,Department4,Team9,54,SID,S,SI,British,RUB,Male,11,95,2016,2016,5,1.0,4,4,15969,10.24,2,2,SF-Z-4GB03_G7,FL II
416,Department1,Team11,34,SDI,S,SD,British,IDR,Male,12,119,2017,2017,5,0.4,3,4,10954,21.92,2,5,SF1-UK-IEGB3_G9,FL I
417,Department2,Team12,76,CIS,C,CI,British,RUB,Female,17,115,2017,2017,3,1.0,3,3,12701,17.07,2,1,SF-Z-4GB03_G7,FL V
418,Department3,Team13,34,IC,I,IC,American,EUR,Male,30,117,2017,2017,4,0.5,4,2,5229,25.13,5,2,SF1-UK-IEGB3_G9,FL I
419,Department4,Team14,21,DC,D,DC,Scottish,CNY,Female,23,32,2016,2016,4,1.0,1,3,4392,20.85,3,3,SF3-JPGB03_G12,FL II
420,Department5,Team15,34,ISCD,I,IS,Polish,XAF,Female,30,58,2016,2016,1,1.0,3,1,13616,21.83,2,2,SF3-JPGB03_G12,FL V
421,Department1,Team1,40,IC,I,IC,British,RUB,Female,4,67,2017,2017,4,0.6,2,4,4961,3.44,4,1,SF1-UK-IEGB3_G9,FL I
422,Department2,Team2,68,SC,S,SC,Italian,EUR,Female,2,29,2016,2016,1,1.0,2,2,12032,19.21,2,5,SF1-UK-IEGB3_G9,FL VI
423,Department3,Team3,68,CD,C,CD,German,CNY,Female,13,37,2016,2016,3,0.6,1,2,17580,28.79,2,3,FG-63GB03_G9,FL VI
424,Department4,Team4,56,IC,I,IC,Scottish,VND,Female,8,118,2017,2017,4,1.0,1,2,4659,20.18,3,3,SF1-UK-IEGB3_G9,FL VI
425,Department5,Team5,31,CIS,C,CI,American,EUR,Male,40,6,2017,2017,4,1.0,2,2,7802,24.75,5,3,SF-Z-1GB03_G10,FL VI
426,Department1,Team6,31,ISDC,I,IS,Spanish,USD,Female,40,65,2016,2016,3,1.0,1,1,17448,17.4,5,2,SF3-JPGB03_G12,FL VI
427,Department2,Team7,32,CIS,C,CI,Italian,SEK,Female,33,35,2017,2017,2,1.0,2,2,2857,21.23,4,3,SF-Z-4GB03_G7,FL I
428,Department3,Team8,25,IDS,I,ID,Italian,RUB,Female,36,28,2017,2017,4,1.0,3,1,15714,24.34,5,5,FG-63GB03_G9,FL VI
429,Department4,Team9,25,IDS,I,ID,British,RUB,Female,33,106,2017,2017,2,1.0,1,3,6911,9.14,3,1,FG-63GB03_G9,FL V
430,Department5,Team10,34,DSI,D,DS,American,USD,Male,40,35,2017,2017,4,1.0,4,1,12920,25.27,4,3,SF-Z-1GB03_G10,FL V
431,Department1,Team11,68,IDC,I,ID,Spanish,BRL,Male,28,69,2017,2017,5,1.0,3,3,10481,7.23,2,3,SF3-JPGB03_G12,FL VI
432,Department2,Team12,21,CIDS,C,CI,Scottish,IDR,Male,39,5,2016,2016,1,1.0,4,4,18661,4.16,3,4,SF-Z-1GB03_G10,FL II
433,Department3,Team13,31,DCS,D,DC,Polish,NIO,Female,1,54,2016,2016,3,1.0,1,3,13146,29.52,1,3,SF-Z-1GB03_G10,FL I
434,Department4,Team14,34,CSDI,C,CS,Irish,UAH,Male,25,23,2016,2016,2,1.0,3,1,17556,5.82,4,5,SF1-UK-IEGB3_G9,FL II
435,Department5,Team15,34,DSI,D,DS,Japanese,EUR,Female,32,66,2016,2016,4,1.0,4,2,7415,7.92,5,4,FG-63GB03_G9,FL II
436,Department1,Team1,44,DI,D,DI,Japanese,PLN,Male,13,74,2016,2016,4,1.0,3,3,15796,26.6,1,2,FG-63GB03_G9,FL II
437,Department2,Team2,54,CSDI,C,CS,Irish,TMT,Female,35,93,2017,2017,4,0.5,4,3,6801,16.09,1,4,SF-Z-4GB03_G7,FL I
438,Department3,Team3,25,S,S,S,Polish,USD,Male,36,113,2017,2017,5,1.0,2,1,16153,2.72,3,3,SF1-UK-IEGB3_G9,FL VI
439,Department4,Team4,61,DCIS,D,DC,Irish,CNY,Male,20,81,2017,2017,3,0.8,1,4,9088,3.92,1,2,SF3-JPGB03_G12,FL I
440,Department5,Team5,42,SDI,S,SD,German,PHP,Female,17,64,2017,2017,3,0.8,4,1,18612,6.0,1,3,SF3-JPGB03_G12,FL VI
441,Department1,Team6,76,DICS,D,DI,Spanish,NOK,Male,39,48,2016,2016,3,1.0,3,3,10961,13.16,3,4,FG-63GB03_G9,FL I
442,Department2,Team7,25,SIDC,S,SI,French,PHP,Male,37,79,2017,2017,3,1.0,2,3,14423,29.24,5,5,FG-63GB03_G9,FL V
443,Department3,Team8,56,CI,C,CI,Polish,MXN,Female,22,71,2017,2017,2,1.0,1,2,15321,9.13,4,4,SF-Z-4GB03_G7,FL V
444,Department4,Team9,32,DSCI,D,DS,French,NOK,Male,18,77,2017,2017,3,1.0,3,1,14835,6.53,3,3,SF1-UK-IEGB3_G9,FL II
445,Department5,Team10,44,SIC,S,SI,German,RUB,Male,30,91,2017,2017,4,1.0,4,3,1551,10.91,1,5,SF1-UK-IEGB3_G9,FL VI
446,Department1,Team11,34,DSCI,D,DS,Scottish,EUR,Female,7,42,2017,2017,4,1.0,4,2,15263,20.84,2,3,SF3-JPGB03_G12,FL II
447,Department2,Team12,34,ISD,I,IS,Italian,CNY,Female,5,19,2017,2017,2,1.0,2,2,17762,23.76,2,4,SF-Z-1GB03_G10,FL I
448,Department3,Team13,21,I,I,I,Irish,EUR,Female,27,112,2017,2017,2,1.0,4,4,8672,12.7,1,5,SF3-JPGB03_G12,FL II
449,Department4,Team14,34,CSDI,C,CS,Polish,USD,Male,40,86,2016,2016,4,1.0,2,2,9927,21.74,3,5,FG-63GB03_G9,FL II
451,Department1,Team1,23,ISCD,I,IS,British,HRK,Male,39,52,2017,2017,1,1.0,3,1,16340,15.01,3,3,SF-Z-1GB03_G10,FL VI
452,Department2,Team2,54,DSIC,D,DS,Scottish,MXN,Male,30,31,2016,2016,3,1.0,1,4,7968,24.15,2,2,SF1-UK-IEGB3_G9,FL II
453,Department3,Team3,23,DCSI,D,DC,French,UAH,Male,34,100,2016,2016,3,1.0,2,1,10478,18.72,5,2,SF1-UK-IEGB3_G9,FL II
454,Department4,Team4,61,DCI,D,DC,French,CNY,Female,34,45,2016,2016,5,1.0,3,1,15366,2.49,5,5,SF3-JPGB03_G12,FL V
455,Department5,Team5,34,CSID,C,CS,Scottish,RUB,Female,38,21,2017,2017,4,1.0,4,3,9907,21.95,1,5,SF1-UK-IEGB3_G9,FL II
456,Department1,Team6,40,SDIC,S,SD,Japanese,IDR,Female,33,106,2017,2017,4,0.5,3,3,8669,13.67,5,2,SF-Z-4GB03_G7,FL V
457,Department2,Team7,34,SCDI,S,SC,Spanish,THB,Female,2,50,2017,2017,1,1.0,3,1,10847,14.23,4,3,SF3-JPGB03_G12,FL V
458,Department3,Team8,32,SID,S,SI,Spanish,PHP,Female,4,34,2016,2016,1,1.0,1,1,16658,14.11,1,2,SF-Z-1GB03_G10,FL II
459,Department4,Team9,40,DISC,D,DI,French,EUR,Female,23,47,2017,2017,4,0.6,4,4,13392,16.36,5,1,SF3-JPGB03_G12,FL II
460,Department5,Team10,40,CDSI,C,CD,Italian,KPW,Female,22,79,2016,2016,4,1.0,2,2,16604,26.92,3,3,SF3-JPGB03_G12,FL V
461,Department1,Team11,21,DCS,D,DC,British,ZWL,Male,7,13,2016,2016,1,0.4,2,1,16300,12.78,5,4,SF3-JPGB03_G12,FL VI
462,Department2,Team12,68,DIC,D,DI,Irish,MKD,Male,38,64,2016,2016,3,1.0,4,3,2675,6.44,1,5,SF3-JPGB03_G12,FL I
463,Department3,Team13,34,CSD,C,CS,French,MKD,Female,10,115,2017,2017,3,0.5,4,1,9214,18.73,2,2,SF3-JPGB03_G12,FL VI
464,Department4,Team14,23,CID,C,CI,Japanese,CNY,Male,3,30,2017,2017,3,1.0,4,4,7754,26.61,5,3,SF1-UK-IEGB3_G9,FL VI
465,Department5,Team15,42,ICSD,I,IC,American,PHP,Male,16,94,2017,2017,5,1.0,2,2,12158,1.78,5,4,SF-Z-4GB03_G7,FL II
466,Department1,Team1,40,CISD,C,CI,Italian,PLN,Female,5,117,2016,2016,5,1.0,3,3,6114,20.47,1,4,SF1-UK-IEGB3_G9,FL VI
467,Department2,Team2,22,DCSI,D,DC,French,AFN,Female,19,49,2017,2017,5,1.0,3,2,14004,20.89,4,2,SF-Z-4GB03_G7,FL VI
468,Department3,Team3,23,SDI,S,SD,German,IDR,Female,19,102,2017,2017,4,0.6,3,2,4149,7.98,1,2,SF-Z-4GB03_G7,FL VI
469,Department4,Team4,44,SCDI,S,SC,French,BYR,Female,27,17,2016,2016,4,1.0,1,2,2740,5.28,5,3,SF3-JPGB03_G12,FL VI
470,Department5,Team5,22,DSI,D,DS,Spanish,CNY,Female,40,21,2016,2016,1,1.0,2,1,9656,17.23,5,4,SF-Z-4GB03_G7,FL V
471,Department1,Team6,34,SID,S,SI,Polish,TND,Male,36,96,2016,2016,2,1.0,2,1,16114,6.71,2,5,SF-Z-1GB03_G10,FL VI
472,Department2,Team7,22,ICDS,I,IC,Irish,PLN,Female,18,30,2017,2017,5,0.8,2,3,2284,9.91,3,3,SF3-JPGB03_G12,FL V
474,Department4,Team9,21,ICDS,I,IC,German,THB,Female,5,6,2016,2016,1,1.0,2,4,17627,20.04,2,3,FG-63GB03_G9,FL I
475,Department5,Team10,56,DCIS,D,DC,French,CNY,Female,40,117,2017,2017,2,1.0,2,2,16018,15.66,2,3,SF-Z-4GB03_G7,FL VI
476,Department1,Team11,25,ICSD,I,IC,British,EUR,Female,20,105,2016,2016,3,1.0,2,4,1870,17.04,2,3,SF-Z-1GB03_G10,FL II
477,Department2,Team12,63,SDI,S,SD,French,GEL,Male,9,56,2017,2017,2,0.4,3,4,15231,3.88,2,1,SF3-JPGB03_G12,FL I
478,Department3,Team13,34,SDCI,S,SD,British,CNY,Male,25,109,2017,2017,2,1.0,3,1,4104,27.89,5,2,SF-Z-4GB03_G7,FL I
479,Department4,Team14,34,DIS,D,DI,Scottish,NZD,Female,38,87,2016,2016,2,1.0,1,1,14204,10.01,2,5,SF-Z-1GB03_G10,FL I
480,Department5,Team15,63,DICS,D,DI,American,PLN,Female,20,66,2016,2016,4,1.0,1,2,12198,20.44,2,2,SF-Z-1GB03_G10,FL V
481,Department1,Team1,42,ICD,I,IC,Spanish,PHP,Female,16,25,2016,2016,2,0.6,1,4,17130,28.73,4,2,SF-Z-1GB03_G10,FL I
482,Department2,Team2,56,DIC,D,DI,American,CNY,Male,1,88,2017,2017,5,0.4,1,1,17643,26.18,1,4,FG-63GB03_G9,FL V
483,Department3,Team3,56,SD,S,SD,French,THB,Male,13,100,2017,2017,2,1.0,1,1,16109,28.69,4,2,SF-Z-1GB03_G10,FL VI
484,Department4,Team4,34,SIDC,S,SI,German,CNY,Female,6,97,2016,2016,1,0.6,1,3,10996,12.41,1,2,SF3-JPGB03_G12,FL V
485,Department5,Team5,34,SDI,S,SD,Polish,IDR,Male,0,98,2016,2016,1,1.0,3,2,10464,7.81,3,2,FG-63GB03_G9,FL II
486,Department1,Team6,32,SICD,S,SI,British,IDR,Female,6,83,2016,2016,1,0.8,4,1,4246,25.74,4,5,FG-63GB03_G9,FL II
487,Department2,Team7,20,IDC,I,ID,American,BRL,Male,38,27,2016,2016,4,1.0,2,4,10218,26.6,3,3,SF1-UK-IEGB3_G9,FL V
488,Department3,Team8,44,CI,C,CI,Irish,SEK,Female,13,28,2016,2016,3,1.0,1,2,10766,2.61,5,1,SF-Z-4GB03_G7,FL II
489,Department4,Team9,40,DIC,D,DI,Italian,CNY,Male,17,5,2017,2017,1,1.0,4,2,5637,6.92,5,5,SF-Z-1GB03_G10,FL VI
490,Department5,Team10,61,SC,S,SC,Irish,AMD,Male,35,108,2016,2016,4,1.0,1,1,13233,28.74,4,4,SF-Z-4GB03_G7,FL V
491,Department1,Team11,25,DCS,D,DC,American,TZS,Male,22,40,2017,2017,1,1.0,4,1,3718,5.85,2,4,SF1-UK-IEGB3_G9,FL V
492,Department2,Team12,25,DSIC,D,DS,Japanese,RUB,Male,38,107,2017,2017,3,1.0,4,3,12587,13.2,2,4,SF3-JPGB03_G12,FL VI
494,Department4,Team14,56,IDS,I,ID,American,SEK,Female,30,35,2016,2016,4,1.0,2,1,18854,6.17,2,3,SF1-UK-IEGB3_G9,FL VI
495,Department5,Team15,54,DCSI,D,DC,Spanish,NOK,Female,0,52,2017,2017,2,1.0,4,2,3241,14.68,1,2,SF-Z-4GB03_G7,FL V
496,Department1,Team1,34,CI,C,CI,British,EUR,Male,4,102,2016,2016,2,1.0,4,2,17359,7.91,1,5,SF3-JPGB03_G12,FL II
497,Department2,Team2,76,ISD,I,IS,Polish,THB,Male,34,62,2016,2016,2,1.0,1,4,9594,10.0,4,4,FG-63GB03_G9,FL II
498,Department3,Team3,44,DCI,D,DC,American,CNY,Female,10,20,2016,2016,1,1.0,1,3,3273,13.4,5,2,FG-63GB03_G9,FL II
499,Department4,Team4,34,SCID,S,SC,Scottish,RUB,Female,25,35,2016,2016,5,1.0,3,2,16584,11.17,2,3,SF-Z-4GB03_G7,FL II
501,Department1,Team6,21,SID,S,SI,Spanish,CNY,Female,17,105,2017,2017,4,1.0,4,2,15518,3.42,3,4,SF3-JPGB03_G12,FL I
503,Department3,Team8,56,ISCD,I,IS,French,RUB,Female,8,23,2017,2017,2,1.0,2,1,17999,15.48,3,5,SF-Z-4GB03_G7,FL II
504,Department4,Team9,42,DI,D,DI,Scottish,PLN,Female,34,108,2017,2017,2,1.0,2,1,9346,23.79,5,5,FG-63GB03_G9,FL VI
505,Department5,Team10,76,DSIC,D,DS,American,IDR,Female,12,19,2017,2017,1,1.0,1,2,4716,26.75,4,2,FG-63GB03_G9,FL I
506,Department1,Team11,76,ICD,I,IC,Japanese,CNY,Male,10,18,2017,2017,1,1.0,4,2,8985,7.01,5,4,SF-Z-4GB03_G7,FL II
507,Department2,Team12,23,DISC,D,DI,French,PEN,Female,34,30,2016,2016,3,1.0,2,3,17431,6.65,4,2,SF-Z-1GB03_G10,FL I
508,Department3,Team13,34,DSCI,D,DS,French,USD,Female,12,24,2017,2017,3,1.0,3,1,15090,22.75,3,1,SF-Z-1GB03_G10,FL II
509,Department4,Team14,63,DICS,D,DI,Spanish,CNY,Female,30,14,2016,2016,4,0.8,1,4,11724,1.88,3,3,SF3-JPGB03_G12,FL VI
510,Department5,Team15,34,SC,S,SC,German,IDR,Female,8,55,2017,2017,1,0.8,3,4,3165,18.33,4,3,SF-Z-1GB03_G10,FL II
511,Department1,Team1,63,DCI,D,DC,Italian,MNT,Female,20,12,2017,2017,2,1.0,1,3,14942,27.87,1,4,SF1-UK-IEGB3_G9,FL VI
512,Department2,Team2,34,C,C,C,Japanese,USD,Male,20,41,2016,2016,2,1.0,2,2,9811,15.53,1,2,SF1-UK-IEGB3_G9,FL II
513,Department3,Team3,22,SICD,S,SI,British,COP,Female,18,71,2016,2016,4,1.0,2,2,1876,6.64,2,1,SF-Z-1GB03_G10,FL I
514,Department4,Team4,54,IDCS,I,ID,British,PHP,Female,19,3,2016,2016,5,1.0,3,1,15372,14.69,1,1,SF3-JPGB03_G12,FL II
515,Department5,Team5,34,DCI,D,DC,British,BYR,Male,38,87,2017,2017,3,0.5,2,2,6148,23.2,5,5,SF-Z-1GB03_G10,FL V
516,Department1,Team6,25,ISCD,I,IS,Spanish,CNY,Male,0,40,2016,2016,1,1.0,4,3,6770,21.33,3,2,SF-Z-4GB03_G7,FL V
517,Department2,Team7,42,DCI,D,DC,Irish,SYP,Male,34,120,2017,2017,2,1.0,4,2,2390,10.04,5,4,SF1-UK-IEGB3_G9,FL V
518,Department3,Team8,25,SCDI,S,SC,Italian,IDR,Female,14,62,2016,2016,1,1.0,3,4,6543,13.01,3,1,FG-63GB03_G9,FL II
519,Department4,Team9,54,CSDI,C,CS,Polish,CNY,Female,34,30,2017,2017,4,1.0,3,1,15891,29.09,3,1,FG-63GB03_G9,FL I
520,Department5,Team10,25,ID,I,ID,Irish,IDR,Female,9,100,2017,2017,4,1.0,1,4,16613,12.02,5,4,SF1-UK-IEGB3_G9,FL II
521,Department1,Team11,23,SDIC,S,SD,German,MMK,Male,39,18,2017,2017,2,1.0,3,2,7668,6.4,3,2,SF3-JPGB03_G12,FL II
522,Department2,Team12,42,SCID,S,SC,French,MNT,Female,14,87,2016,2016,1,1.0,2,2,17350,16.48,4,5,SF-Z-4GB03_G7,FL II
523,Department3,Team13,32,CDSI,C,CD,Polish,IDR,Male,23,8,2017,2017,2,1.0,3,3,8286,21.62,1,1,SF-Z-4GB03_G7,FL II
524,Department4,Team14,23,IDS,I,ID,British,PHP,Female,27,86,2017,2017,4,1.0,4,1,1514,2.93,5,5,SF-Z-1GB03_G10,FL II
525,Department5,Team15,76,SICD,S,SI,British,VND,Male,5,26,2016,2016,4,0.8,4,2,10085,13.4,1,1,FG-63GB03_G9,FL VI
526,Department1,Team1,22,DIC,D,DI,Italian,MXN,Female,8,81,2016,2016,4,1.0,2,3,10972,14.84,5,4,FG-63GB03_G9,FL VI
527,Department2,Team2,34,DSI,D,DS,British,IDR,Female,23,32,2017,2017,2,0.5,1,2,13620,13.66,4,4,SF3-JPGB03_G12,FL II
528,Department3,Team3,68,CSID,C,CS,French,NOK,Female,23,50,2016,2016,5,1.0,4,4,15755,29.86,5,5,SF1-UK-IEGB3_G9,FL II
529,Department4,Team4,63,IDS,I,ID,German,RUB,Female,15,85,2016,2016,1,1.0,3,4,12872,16.66,1,1,FG-63GB03_G9,FL II
530,Department5,Team5,34,IDS,I,ID,German,IDR,Male,1,100,2016,2016,2,0.4,3,4,10945,10.5,5,5,FG-63GB03_G9,FL V
531,Department1,Team6,31,DIC,D,DI,Irish,JPY,Male,24,65,2017,2017,4,1.0,4,3,11010,16.72,3,2,SF-Z-1GB03_G10,FL II
532,Department2,Team7,32,SICD,S,SI,Scottish,CNY,Male,10,72,2016,2016,1,0.8,4,4,13962,28.67,5,5,SF-Z-4GB03_G7,FL VI
533,Department3,Team8,20,CI,C,CI,Polish,UAH,Female,3,1,2017,2017,4,1.0,3,3,4584,5.59,4,4,SF-Z-4GB03_G7,FL II
534,Department4,Team9,23,DICS,D,DI,Italian,CNY,Male,3,46,2017,2017,4,1.0,4,3,11142,2.52,1,3,SF-Z-4GB03_G7,FL II
535,Department5,Team10,25,D,D,D,French,RUB,Male,0,54,2017,2017,1,1.0,3,4,3911,20.72,4,3,FG-63GB03_G9,FL VI
536,Department1,Team11,44,SDI,S,SD,Spanish,CNY,Male,39,24,2017,2017,1,1.0,1,3,6189,22.55,4,2,FG-63GB03_G9,FL II
537,Department2,Team12,61,SDI,S,SD,Spanish,CNY,Male,25,25,2017,2017,5,1.0,4,3,3550,28.63,5,4,SF-Z-1GB03_G10,FL II
538,Department3,Team13,32,CSID,C,CS,American,CLP,Female,14,119,2016,2016,5,1.0,3,1,3933,13.95,3,4,SF3-JPGB03_G12,FL II
539,Department4,Team14,68,ICD,I,IC,Irish,HNL,Female,37,14,2017,2017,1,0.6,4,2,10082,1.2,1,3,SF3-JPGB03_G12,FL V
540,Department5,Team15,25,SDC,S,SD,Scottish,EUR,Male,23,105,2017,2017,1,1.0,4,4,13160,11.89,2,5,SF-Z-1GB03_G10,FL I
541,Department1,Team1,20,CIDS,C,CI,Japanese,NOK,Male,9,65,2016,2016,5,0.8,4,1,8808,23.72,3,1,SF3-JPGB03_G12,FL I
542,Department2,Team2,40,SID,S,SI,Irish,ALL,Male,13,20,2017,2017,5,1.0,2,4,17881,4.39,4,3,SF3-JPGB03_G12,FL II
543,Department3,Team3,25,CSI,C,CS,Spanish,AFN,Female,24,83,2016,2016,5,1.0,1,3,4150,15.65,5,1,SF1-UK-IEGB3_G9,FL V
544,Department4,Team4,42,SDIC,S,SD,Irish,EUR,Female,13,47,2017,2017,4,0.5,3,3,11145,29.17,1,4,SF-Z-4GB03_G7,FL V
545,Department5,Team5,23,SC,S,SC,Japanese,MKD,Female,27,36,2017,2017,4,0.6,3,2,10011,18.77,4,5,SF-Z-1GB03_G10,FL V
546,Department1,Team6,54,CIDS,C,CI,American,CNY,Male,35,117,2016,2016,4,1.0,4,1,7477,23.68,2,1,SF-Z-4GB03_G7,FL I
547,Department2,Team7,34,SDCI,S,SD,Polish,EUR,Female,0,8,2017,2017,1,1.0,1,2,9692,7.14,3,2,SF-Z-1GB03_G10,FL I
548,Department3,Team8,42,IS,I,IS,Irish,PHP,Male,37,13,2016,2016,3,1.0,1,3,10503,29.02,2,2,SF3-JPGB03_G12,FL II
